,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-01 08:00:00,08:00:00,08:00:52,1662,2179,17085.0,25,17090.0,4,17095.0,17110.0,17090.0,17090.0,790,-58,17090,12,17095,13
2016-06-01 08:01:00,08:01:00,08:01:59,2196,2665,17090.0,17,17095.0,18,17090.0,17090.0,17075.0,17085.0,531,-59,17085,1,17090,32
2016-06-01 08:02:00,08:02:00,08:02:59,2669,3019,17085.0,7,17090.0,32,17085.0,17105.0,17085.0,17105.0,428,104,17100,34,17105,8
2016-06-01 08:03:00,08:03:00,08:03:59,3022,3494,17100.0,35,17105.0,18,17100.0,17100.0,17080.0,17090.0,705,-221,17090,8,17095,34
2016-06-01 08:04:00,08:04:00,08:04:58,3496,3741,17090.0,8,17095.0,33,17090.0,17095.0,17075.0,17080.0,247,-114,17080,14,17085,26
2016-06-01 08:05:00,08:05:00,08:05:55,3745,4024,17080.0,15,17085.0,26,17080.0,17085.0,17070.0,17080.0,241,-84,17075,20,17080,28
2016-06-01 08:06:00,08:06:03,08:06:56,4046,4521,17075.0,33,17080.0,32,17075.0,17085.0,17070.0,17075.0,736,255,17075,20,17080,32
2016-06-01 08:07:00,08:07:15,08:07:55,4553,4739,17075.0,20,17080.0,35,17075.0,17080.0,17070.0,17080.0,172,50,17075,42,17080,8
2016-06-01 08:08:00,08:08:00,08:08:52,4752,4994,17075.0,30,17080.0,40,17075.0,17080.0,17070.0,17075.0,207,-23,17075,28,17080,55
2016-06-01 08:09:00,08:09:02,08:09:48,5005,5169,17075.0,28,17080.0,56,17075.0,17075.0,17070.0,17070.0,142,-36,17070,17,17075,30
2016-06-01 08:10:00,08:10:00,08:10:58,5194,5643,17070.0,31,17075.0,21,17075.0,17090.0,17060.0,17085.0,653,243,17085,20,17090,28
2016-06-01 08:11:00,08:11:03,08:11:57,5653,5923,17085.0,27,17090.0,9,17090.0,17095.0,17085.0,17090.0,233,-39,17090,8,17095,32
2016-06-01 08:12:00,08:12:02,08:12:51,5931,6177,17090.0,2,17095.0,33,17090.0,17095.0,17080.0,17095.0,287,70,17095,15,17100,34
2016-06-01 08:13:00,08:13:11,08:13:58,6201,6324,17095.0,15,17100.0,44,17095.0,17100.0,17095.0,17100.0,126,16,17100,11,17105,38
2016-06-01 08:14:00,08:14:06,08:14:59,6338,6471,17100.0,22,17105.0,37,17100.0,17100.0,17090.0,17090.0,92,-52,17090,50,17095,33
2016-06-01 08:15:00,08:15:00,08:15:57,6472,6843,17090.0,24,17095.0,34,17090.0,17095.0,17080.0,17095.0,475,158,17085,31,17090,8
2016-06-01 08:16:00,08:16:15,08:16:54,6855,6982,17085.0,28,17090.0,22,17090.0,17090.0,17080.0,17080.0,155,-145,17080,13,17085,34
2016-06-01 08:17:00,08:17:02,08:17:54,6995,7161,17080.0,12,17085.0,34,17080.0,17085.0,17080.0,17085.0,125,22,17080,30,17085,7
