,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-17 08:00:00,08:00:00,08:00:59,1889,2708,15630.0,10,15635.0,11,15630.0,15640.0,15605.0,15630.0,1166,14,15625,22,15630,5
2016-06-17 08:01:00,08:01:00,08:01:57,2711,3435,15625.0,22,15630.0,5,15630.0,15665.0,15625.0,15635.0,1098,65,15630,27,15635,4
2016-06-17 08:02:00,08:02:00,08:02:59,3442,3706,15630.0,34,15635.0,10,15635.0,15640.0,15625.0,15630.0,246,39,15625,25,15630,9
2016-06-17 08:03:00,08:03:00,08:03:59,3707,4219,15620.0,35,15625.0,8,15630.0,15680.0,15630.0,15680.0,530,12,15675,5,15680,17
2016-06-17 08:04:00,08:04:00,08:04:59,4221,4724,15675.0,4,15680.0,17,15675.0,15695.0,15670.0,15675.0,525,2,15670,51,15675,18
2016-06-17 08:05:00,08:05:02,08:05:59,4731,5160,15670.0,62,15675.0,16,15670.0,15680.0,15660.0,15680.0,468,-126,15675,14,15680,20
2016-06-17 08:06:00,08:06:00,08:06:58,5163,5643,15675.0,14,15680.0,20,15675.0,15685.0,15650.0,15660.0,552,-202,15655,15,15660,21
2016-06-17 08:07:00,08:07:00,08:07:57,5649,6134,15655.0,13,15660.0,23,15655.0,15665.0,15640.0,15640.0,449,-176,15640,6,15645,25
2016-06-17 08:08:00,08:08:03,08:08:59,6148,6346,15640.0,22,15645.0,1,15645.0,15650.0,15640.0,15640.0,148,-36,15640,6,15645,27
2016-06-17 08:09:00,08:09:00,08:09:59,6347,6656,15640.0,30,15645.0,23,15640.0,15645.0,15635.0,15645.0,178,-54,15640,26,15645,5
2016-06-17 08:10:00,08:10:00,08:10:49,6660,6994,15640.0,26,15645.0,9,15645.0,15650.0,15630.0,15635.0,286,-73,15630,25,15635,9
2016-06-17 08:11:00,08:11:00,08:11:45,7012,7211,15630.0,22,15635.0,12,15630.0,15630.0,15620.0,15625.0,160,18,15625,30,15630,26
2016-06-17 08:12:00,08:12:03,08:12:57,7251,7566,15625.0,38,15630.0,20,15630.0,15655.0,15630.0,15655.0,328,36,15655,6,15655,17
2016-06-17 08:13:00,08:13:01,08:13:59,7573,7825,15655.0,8,15660.0,22,15655.0,15655.0,15645.0,15650.0,229,-47,15645,25,15650,14
2016-06-17 08:14:00,08:14:00,08:14:50,7826,8039,15645.0,23,15650.0,6,15650.0,15650.0,15630.0,15630.0,136,-70,15630,18,15635,23
2016-06-17 08:15:00,08:15:00,08:15:59,8058,8498,15630.0,32,15635.0,40,15635.0,15635.0,15605.0,15615.0,481,-136,15610,22,15615,3
2016-06-17 08:16:00,08:16:01,08:16:58,8502,8681,15615.0,8,15620.0,25,15615.0,15615.0,15605.0,15605.0,123,-59,15605,3,15610,23
2016-06-17 08:17:00,08:17:01,08:17:59,8691,9026,15605.0,28,15610.0,16,15605.0,15615.0,15600.0,15605.0,281,-127,15605,8,15610,21
2016-06-17 08:18:00,08:18:00,08:18:59,9033,9454,15605.0,12,15610.0,23,15605.0,15630.0,15605.0,15610.0,430,-8,15610,9,15615,44
2016-06-17 08:19:00,08:19:00,08:19:57,9457,10231,15610.0,9,15615.0,44,15610.0,15630.0,15600.0,15625.0,1058,92,15620,20,15625,3
2016-06-17 08:20:00,08:20:00,08:20:57,10237,10528,15620.0,22,15625.0,7,15625.0,15640.0,15620.0,15635.0,288,138,15635,26,15640,15
2016-06-17 08:21:00,08:21:01,08:21:49,10541,10764,15635.0,25,15640.0,26,15635.0,15640.0,15635.0,15635.0,210,-38,15630,21,15635,18
2016-06-17 08:22:00,08:22:00,08:22:45,10778,10992,15630.0,18,15635.0,21,15635.0,15645.0,15635.0,15645.0,179,42,15645,14,15650,46
2016-06-17 08:23:00,08:23:00,08:23:59,11017,11211,15645.0,18,15650.0,48,15645.0,15655.0,15645.0,15655.0,162,89,15655,25,15660,34
2016-06-17 08:24:00,08:24:06,08:24:42,11233,11420,15655.0,45,15660.0,15,15660.0,15665.0,15655.0,15655.0,186,9,15650,46,15655,4
2016-06-17 08:25:00,08:25:30,08:25:48,11481,11561,15655.0,33,15660.0,37,15655.0,15655.0,15650.0,15655.0,72,-52,15655,8,15660,37
2016-06-17 08:26:00,08:26:05,08:26:59,11592,11730,15655.0,18,15660.0,42,15655.0,15655.0,15645.0,15650.0,96,-60,15645,18,15650,42
2016-06-17 08:27:00,08:27:05,08:27:55,11735,11966,15645.0,18,15650.0,45,15645.0,15650.0,15635.0,15635.0,210,-10,15630,37,15635,6
2016-06-17 08:28:00,08:28:00,08:28:56,11981,12166,15635.0,19,15640.0,31,15635.0,15650.0,15635.0,15645.0,178,85,15645,23,15650,31
2016-06-17 08:29:00,08:29:01,08:29:59,12180,12418,15645.0,19,15650.0,44,15650.0,15660.0,15640.0,15645.0,176,-50,15640,39,15650,57
2016-06-17 08:30:00,08:30:00,08:30:50,12419,12564,15640.0,38,15645.0,6,15645.0,15645.0,15635.0,15635.0,94,-4,15635,34,15640,24
2016-06-17 08:31:00,08:31:02,08:31:59,12584,12728,15635.0,48,15640.0,20,15635.0,15645.0,15635.0,15640.0,107,-5,15640,8,15645,34
2016-06-17 08:32:00,08:32:08,08:32:44,12744,12882,15640.0,13,15645.0,51,15640.0,15640.0,15630.0,15635.0,114,12,15635,2,15640,42
2016-06-17 08:33:00,08:33:05,08:33:44,12912,13034,15630.0,28,15635.0,21,15630.0,15640.0,15625.0,15640.0,96,2,15640,33,15645,12
2016-06-17 08:34:00,08:34:00,08:34:50,13060,13296,15640.0,44,15645.0,9,15645.0,15665.0,15645.0,15660.0,190,106,15660,8,15665,37
2016-06-17 08:35:00,08:35:06,08:35:58,13328,13484,15660.0,26,15665.0,15,15665.0,15665.0,15655.0,15655.0,82,-43,15650,33,15655,12
2016-06-17 08:36:00,08:36:09,08:36:54,13506,13653,15650.0,20,15655.0,38,15650.0,15665.0,15650.0,15660.0,116,24,15655,15,15660,29
2016-06-17 08:37:00,08:37:03,08:37:54,13674,13881,15655.0,10,15660.0,34,15655.0,15655.0,15645.0,15650.0,155,-45,15645,30,15650,14
2016-06-17 08:38:00,08:38:02,08:38:58,13894,14104,15645.0,8,15650.0,47,15645.0,15645.0,15635.0,15640.0,153,37,15640,13,15645,26
2016-06-17 08:39:00,08:39:01,08:39:54,14113,14255,15640.0,14,15645.0,37,15640.0,15640.0,15635.0,15635.0,119,-59,15630,21,15635,18
2016-06-17 08:40:00,08:40:00,08:40:58,14271,14596,15630.0,12,15635.0,37,15635.0,15635.0,15620.0,15635.0,326,-29,15635,9,15640,34
2016-06-17 08:41:00,08:41:02,08:41:54,14607,14747,15630.0,38,15635.0,7,15635.0,15640.0,15635.0,15635.0,48,21,15630,29,15635,6
2016-06-17 08:42:00,08:42:00,08:42:59,14752,15003,15630.0,29,15635.0,6,15635.0,15640.0,15630.0,15640.0,212,77,15640,26,15645,19
2016-06-17 08:43:00,08:43:01,08:43:59,15009,15160,15640.0,31,15645.0,21,15645.0,15645.0,15635.0,15640.0,108,-44,15635,32,15640,6
2016-06-17 08:44:00,08:44:00,08:44:58,15161,15302,15640.0,11,15645.0,46,15640.0,15645.0,15630.0,15635.0,104,-58,15630,27,15635,20
2016-06-17 08:45:00,08:45:05,08:45:56,15315,15830,15630.0,20,15635.0,28,15630.0,15665.0,15620.0,15640.0,688,460,15640,9,15645,18
2016-06-17 08:46:00,08:46:00,08:46:55,15841,16025,15640.0,29,15645.0,13,15645.0,15650.0,15645.0,15650.0,108,2,15645,31,15655,27
2016-06-17 08:47:00,08:47:01,08:47:42,16037,16171,15650.0,12,15655.0,20,15650.0,15650.0,15640.0,15650.0,110,0,15650,10,15655,29
