,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-11-23 08:00:00,08:00:01,08:00:16,525,547,18205.0,19,18210.0,7,18210.0,18215.0,18210.0,18215.0,17,15,18210,16,18215,3
2016-11-23 08:01:00,08:01:00,08:01:00,0,0,0.0,0,0.0,0,18215.0,18215.0,18215.0,18215.0,0,0,0,0,0,0
2016-11-23 08:02:00,08:02:00,08:02:37,564,576,18210.0,16,18215.0,20,18210.0,18215.0,18210.0,18210.0,4,0,18210,9,18215,22
2016-11-23 08:03:00,08:03:00,08:03:03,578,581,18210.0,9,18215.0,18,18210.0,18215.0,18210.0,18215.0,2,0,18210,11,18215,17
2016-11-23 08:04:00,08:04:08,08:04:26,586,596,18210.0,11,18215.0,15,18215.0,18215.0,18210.0,18210.0,12,-10,18205,8,18210,5
2016-11-23 08:05:00,08:05:00,08:05:00,609,609,18205.0,7,18210.0,9,18205.0,18205.0,18205.0,18205.0,1,-1,18205,8,18210,8
2016-11-23 08:06:00,08:06:00,08:06:56,617,626,18205.0,10,18210.0,14,18205.0,18205.0,18205.0,18205.0,2,-2,18205,8,18210,18
2016-11-23 08:07:00,08:07:47,08:07:47,633,633,18205.0,9,18210.0,18,18205.0,18205.0,18205.0,18205.0,1,-1,18205,8,18210,23
2016-11-23 08:08:00,08:08:00,08:08:55,637,645,18205.0,8,18210.0,22,18210.0,18210.0,18205.0,18210.0,4,2,18205,11,18210,18
2016-11-23 08:09:00,08:09:00,08:09:58,648,756,18205.0,11,18210.0,18,18205.0,18215.0,18195.0,18195.0,120,-22,18195,2,18200,11
2016-11-23 08:10:00,08:10:05,08:10:43,763,799,18195.0,5,18200.0,12,18195.0,18195.0,18190.0,18190.0,26,-20,18190,6,18195,12
2016-11-23 08:11:00,08:11:03,08:11:31,805,818,18190.0,7,18195.0,12,18190.0,18190.0,18190.0,18190.0,7,-7,18185,22,18190,15
2016-11-23 08:12:00,08:12:00,08:12:00,0,0,0.0,0,0.0,0,18190.0,18190.0,18190.0,18190.0,0,0,0,0,0,0
2016-11-23 08:13:00,08:13:00,08:13:25,846,863,18185.0,15,18190.0,10,18185.0,18190.0,18185.0,18190.0,11,7,18190,8,18195,21
2016-11-23 08:14:00,08:14:19,08:14:53,875,900,18190.0,12,18195.0,22,18190.0,18190.0,18185.0,18185.0,17,-17,18180,31,18190,14
2016-11-23 08:15:00,08:15:01,08:15:26,906,919,18180.0,30,18185.0,6,18185.0,18185.0,18185.0,18185.0,8,8,18185,4,18190,11
2016-11-23 08:16:00,08:16:25,08:16:55,930,960,18185.0,19,18190.0,16,18185.0,18185.0,18185.0,18185.0,33,-22,18185,3,18190,11
2016-11-23 08:17:00,08:17:03,08:17:07,964,974,18185.0,17,18190.0,11,18185.0,18190.0,18185.0,18190.0,17,-5,18185,10,18195,24
2016-11-23 08:18:00,08:18:12,08:18:56,987,1003,18185.0,29,18190.0,7,18190.0,18190.0,18190.0,18190.0,11,7,18185,27,18195,25
2016-11-23 08:19:00,08:19:07,08:19:08,1009,1018,18185.0,27,18190.0,5,18190.0,18190.0,18190.0,18190.0,14,14,18190,4,18195,23
2016-11-23 08:20:00,08:20:00,08:20:00,0,0,0.0,0,0.0,0,18190.0,18190.0,18190.0,18190.0,0,0,0,0,0,0
2016-11-23 08:21:00,08:21:00,08:21:00,0,0,0.0,0,0.0,0,18190.0,18190.0,18190.0,18190.0,0,0,0,0,0,0
2016-11-23 08:22:00,08:22:53,08:22:53,1052,1052,18190.0,30,18195.0,20,18195.0,18195.0,18195.0,18195.0,1,1,18190,13,18195,19
2016-11-23 08:23:00,08:23:00,08:23:54,1058,1079,18190.0,13,18195.0,21,18190.0,18195.0,18190.0,18195.0,25,23,18195,11,18200,11
2016-11-23 08:24:00,08:24:06,08:24:59,1084,1127,18195.0,14,18200.0,11,18200.0,18200.0,18200.0,18200.0,31,17,18200,2,18205,15
2016-11-23 08:25:00,08:25:07,08:25:41,1134,1152,18195.0,14,18200.0,8,18200.0,18200.0,18200.0,18200.0,15,9,18200,7,18205,26
2016-11-23 08:26:00,08:26:00,08:26:00,0,0,0.0,0,0.0,0,18200.0,18200.0,18200.0,18200.0,0,0,0,0,0,0
2016-11-23 08:27:00,08:27:00,08:27:00,0,0,0.0,0,0.0,0,18200.0,18200.0,18200.0,18200.0,0,0,0,0,0,0
2016-11-23 08:28:00,08:28:40,08:28:59,1176,1202,18200.0,11,18205.0,11,18205.0,18210.0,18205.0,18210.0,23,17,18205,17,18215,15
2016-11-23 08:29:00,08:29:12,08:29:12,1208,1213,18210.0,7,18215.0,15,18210.0,18210.0,18210.0,18210.0,8,-8,18205,14,18215,17
2016-11-23 08:30:00,08:30:25,08:30:25,1224,1227,18205.0,6,18210.0,11,18210.0,18210.0,18210.0,18210.0,4,4,18205,9,18210,9
2016-11-23 08:31:00,08:31:00,08:31:00,0,0,0.0,0,0.0,0,18210.0,18210.0,18210.0,18210.0,0,0,0,0,0,0
2016-11-23 08:32:00,08:32:00,08:32:00,0,0,0.0,0,0.0,0,18210.0,18210.0,18210.0,18210.0,0,0,0,0,0,0
2016-11-23 08:33:00,08:33:40,08:33:55,1243,1268,18200.0,11,18205.0,7,18205.0,18205.0,18205.0,18205.0,21,7,18200,13,18205,6
2016-11-23 08:34:00,08:34:15,08:34:21,1271,1282,18200.0,13,18205.0,6,18205.0,18205.0,18205.0,18205.0,11,1,18200,12,18210,13
2016-11-23 08:35:00,08:35:01,08:35:25,1289,1326,18200.0,11,18205.0,10,18205.0,18205.0,18200.0,18200.0,36,-9,18195,26,18200,2
2016-11-23 08:36:00,08:36:07,08:36:36,1335,1388,18195.0,28,18200.0,7,18200.0,18205.0,18200.0,18200.0,44,2,18195,25,18205,11
2016-11-23 08:37:00,08:37:22,08:37:27,1399,1404,18195.0,13,18200.0,2,18200.0,18200.0,18200.0,18200.0,7,3,18195,14,18200,7
2016-11-23 08:38:00,08:38:18,08:38:22,1409,1422,18195.0,12,18200.0,9,18200.0,18200.0,18200.0,18200.0,11,7,18200,2,18205,13
2016-11-23 08:39:00,08:39:20,08:39:57,1434,1477,18200.0,5,18205.0,12,18200.0,18205.0,18200.0,18205.0,33,-1,18200,42,18205,3
2016-11-23 08:40:00,08:40:49,08:40:50,1498,1513,18200.0,10,18205.0,7,18200.0,18200.0,18195.0,18195.0,19,-19,18195,19,18200,12
2016-11-23 08:41:00,08:41:11,08:41:33,1518,1539,18195.0,17,18200.0,13,18195.0,18195.0,18195.0,18195.0,41,4,18190,55,18200,12
2016-11-23 08:42:00,08:42:16,08:42:16,1543,1543,18190.0,55,18195.0,2,18195.0,18195.0,18195.0,18195.0,2,2,18195,10,18200,12
2016-11-23 08:43:00,08:43:15,08:43:17,1551,1569,18195.0,26,18200.0,9,18195.0,18195.0,18195.0,18195.0,61,-55,18190,37,18195,4
2016-11-23 08:44:00,08:44:10,08:44:57,1576,1615,18190.0,28,18195.0,30,18190.0,18190.0,18190.0,18190.0,82,22,18185,13,18190,3
2016-11-23 08:45:00,08:45:03,08:45:09,1622,1628,18185.0,12,18190.0,5,18185.0,18185.0,18185.0,18185.0,11,-11,18180,19,18190,12
2016-11-23 08:46:00,08:46:03,08:46:03,1638,1638,18185.0,22,18190.0,13,18190.0,18190.0,18190.0,18190.0,1,1,18185,23,18190,7
2016-11-23 08:47:00,08:47:00,08:47:00,0,0,0.0,0,0.0,0,18190.0,18190.0,18190.0,18190.0,0,0,0,0,0,0
2016-11-23 08:48:00,08:48:21,08:48:34,1649,1652,18185.0,23,18190.0,34,18190.0,18190.0,18190.0,18190.0,2,2,18185,25,18190,32
2016-11-23 08:49:00,08:49:19,08:49:19,1656,1656,18185.0,25,18190.0,33,18190.0,18190.0,18190.0,18190.0,1,1,18185,26,18190,32
2016-11-23 08:50:00,08:50:01,08:50:51,1661,1690,18185.0,26,18190.0,29,18190.0,18190.0,18185.0,18185.0,48,12,18185,14,18190,32
