,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-06 08:00:00,08:00:00,08:00:59,2879,3668,16335.0,14,16340.0,12,16340.0,16350.0,16290.0,16310.0,1240,-280,16310,7,16315,20
2016-06-06 08:01:00,08:01:00,08:01:59,3671,4208,16310.0,7,16315.0,20,16310.0,16345.0,16310.0,16340.0,840,240,16335,71,16340,79
2016-06-06 08:02:00,08:02:00,08:02:51,4210,4508,16335.0,68,16340.0,79,16340.0,16350.0,16330.0,16350.0,521,-64,16350,16,16355,13
2016-06-06 08:03:00,08:03:00,08:03:58,4522,4988,16350.0,33,16355.0,11,16350.0,16355.0,16330.0,16340.0,475,-15,16335,24,16340,1
2016-06-06 08:04:00,08:04:00,08:04:59,4991,5292,16335.0,24,16340.0,1,16340.0,16340.0,16315.0,16315.0,285,-19,16315,6,16320,17
2016-06-06 08:05:00,08:05:00,08:05:55,5297,5650,16315.0,13,16320.0,12,16315.0,16355.0,16315.0,16350.0,505,285,16350,16,16355,26
2016-06-06 08:06:00,08:06:03,08:06:59,5671,6302,16350.0,40,16355.0,17,16350.0,16380.0,16350.0,16365.0,740,-80,16365,12,16370,5
2016-06-06 08:07:00,08:07:00,08:07:55,6310,6588,16365.0,24,16370.0,13,16365.0,16385.0,16365.0,16380.0,250,14,16375,27,16380,8
2016-06-06 08:08:00,08:08:00,08:08:59,6605,7066,16375.0,21,16380.0,27,16375.0,16380.0,16365.0,16365.0,532,114,16365,5,16370,39
2016-06-06 08:09:00,08:09:00,08:09:55,7069,7314,16365.0,5,16370.0,39,16365.0,16375.0,16360.0,16375.0,257,-102,16375,21,16380,26
2016-06-06 08:10:00,08:10:05,08:10:57,7337,7638,16375.0,8,16380.0,68,16375.0,16385.0,16370.0,16375.0,375,-61,16375,10,16380,26
2016-06-06 08:11:00,08:11:05,08:11:59,7656,7873,16375.0,21,16380.0,24,16375.0,16385.0,16375.0,16380.0,162,14,16380,21,16385,10
2016-06-06 08:12:00,08:12:03,08:12:58,7879,8040,16380.0,27,16385.0,6,16385.0,16390.0,16380.0,16385.0,153,21,16385,13,16390,63
2016-06-06 08:13:00,08:13:03,08:13:56,8045,8259,16385.0,14,16390.0,62,16390.0,16390.0,16375.0,16385.0,193,31,16385,24,16390,58
