,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-13 08:00:00,08:00:00,08:00:58,1806,2298,16255.0,26,16260.0,21,16255.0,16260.0,16240.0,16250.0,802,-35,16245,18,16250,18
2016-06-13 08:01:00,08:01:01,08:01:59,2309,2679,16245.0,28,16250.0,27,16245.0,16260.0,16235.0,16260.0,518,6,16255,41,16260,8
2016-06-13 08:02:00,08:02:01,08:02:59,2685,2991,16255.0,43,16260.0,8,16260.0,16260.0,16255.0,16255.0,372,40,16255,8,16260,19
2016-06-13 08:03:00,08:03:00,08:03:59,2996,3276,16255.0,19,16260.0,9,16260.0,16260.0,16245.0,16250.0,400,-200,16245,24,16255,35
2016-06-13 08:04:00,08:04:00,08:04:53,3278,3517,16245.0,24,16255.0,27,16250.0,16255.0,16245.0,16245.0,245,67,16245,2,16250,14
2016-06-13 08:05:00,08:05:00,08:05:58,3531,3682,16245.0,15,16250.0,10,16250.0,16250.0,16240.0,16240.0,96,18,16240,25,16245,41
2016-06-13 08:06:00,08:06:02,08:06:56,3692,4178,16240.0,30,16245.0,34,16240.0,16275.0,16240.0,16270.0,596,192,16265,30,16270,12
2016-06-13 08:07:00,08:07:00,08:07:56,4190,4528,16265.0,26,16270.0,14,16270.0,16275.0,16240.0,16240.0,335,-102,16235,37,16240,2
2016-06-13 08:08:00,08:08:09,08:08:59,4551,4753,16235.0,35,16240.0,22,16240.0,16245.0,16235.0,16245.0,141,57,16240,27,16245,29
2016-06-13 08:09:00,08:09:00,08:09:58,4756,5078,16240.0,27,16245.0,29,16240.0,16250.0,16230.0,16230.0,357,-223,16230,7,16230,23
2016-06-13 08:10:00,08:10:00,08:10:57,5083,5333,16230.0,12,16235.0,37,16230.0,16230.0,16220.0,16225.0,181,5,16225,11,16230,34
2016-06-13 08:11:00,08:11:00,08:11:59,5338,5533,16225.0,8,16230.0,37,16225.0,16230.0,16220.0,16220.0,135,-13,16220,5,16225,33
2016-06-13 08:12:00,08:12:01,08:12:59,5540,5983,16220.0,4,16225.0,32,16225.0,16225.0,16200.0,16200.0,507,-185,16200,14,16205,39
2016-06-13 08:13:00,08:13:02,08:13:49,5990,6290,16200.0,23,16205.0,40,16200.0,16210.0,16195.0,16205.0,450,-222,16205,15,16210,45
2016-06-13 08:14:00,08:14:04,08:14:55,6298,6368,16205.0,15,16210.0,50,16205.0,16205.0,16205.0,16205.0,40,-40,16205,153,16210,91
2016-06-13 08:15:00,08:15:07,08:15:59,6388,6638,16205.0,176,16210.0,117,16210.0,16210.0,16200.0,16200.0,427,-160,16195,35,16200,8
2016-06-13 08:16:00,08:16:00,08:16:50,6639,7088,16200.0,8,16205.0,34,16200.0,16200.0,16180.0,16190.0,551,-396,16190,6,16195,41
2016-06-13 08:17:00,08:17:00,08:17:59,7105,7413,16190.0,23,16195.0,32,16190.0,16205.0,16190.0,16200.0,295,159,16195,36,16205,46
2016-06-13 08:18:00,08:18:01,08:18:58,7420,7606,16195.0,10,16200.0,32,16200.0,16200.0,16190.0,16195.0,140,-20,16190,39,16200,62
2016-06-13 08:19:00,08:19:01,08:19:48,7616,7809,16195.0,15,16200.0,48,16195.0,16210.0,16195.0,16210.0,170,73,16205,31,16210,22
2016-06-13 08:20:00,08:20:00,08:20:53,7825,8013,16205.0,21,16210.0,35,16205.0,16205.0,16195.0,16200.0,126,-38,16195,30,16200,18
2016-06-13 08:21:00,08:21:00,08:21:59,8025,8188,16195.0,24,16200.0,26,16195.0,16200.0,16190.0,16195.0,119,-21,16195,70,16200,37
2016-06-13 08:22:00,08:22:00,08:22:57,8192,8451,16195.0,70,16200.0,32,16200.0,16200.0,16190.0,16195.0,287,54,16195,10,16200,43
2016-06-13 08:23:00,08:23:03,08:23:53,8466,8565,16195.0,32,16200.0,33,16200.0,16205.0,16195.0,16205.0,76,34,16200,42,16205,11
2016-06-13 08:24:00,08:24:02,08:24:59,8576,8758,16200.0,44,16205.0,16,16200.0,16210.0,16200.0,16205.0,114,1,16205,13,16210,37
2016-06-13 08:25:00,08:25:00,08:25:55,8761,8945,16205.0,13,16210.0,37,16205.0,16210.0,16200.0,16210.0,157,-21,16205,35,16210,16
2016-06-13 08:26:00,08:26:04,08:26:56,8963,9075,16205.0,20,16210.0,41,16205.0,16210.0,16205.0,16205.0,54,-44,16205,4,16210,63
