,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-30 08:00:00,08:00:00,08:00:58,4354,5413,16470.0,41,16475.0,51,16475.0,16480.0,16435.0,16455.0,1517,-162,16455,20,16460,30
2016-09-30 08:01:00,08:01:03,08:01:59,5428,5836,16455.0,46,16460.0,46,16455.0,16460.0,16445.0,16455.0,441,21,16450,40,16455,14
2016-09-30 08:02:00,08:02:01,08:02:59,5840,6296,16450.0,39,16455.0,14,16450.0,16455.0,16445.0,16445.0,486,-60,16445,27,16450,25
2016-09-30 08:03:00,08:03:01,08:03:59,6301,6659,16445.0,28,16450.0,37,16450.0,16455.0,16435.0,16435.0,353,-129,16435,6,16440,44
2016-09-30 08:04:00,08:04:00,08:04:57,6664,7012,16435.0,16,16440.0,43,16435.0,16440.0,16430.0,16435.0,368,12,16435,43,16440,72
2016-09-30 08:05:00,08:05:01,08:05:58,7024,7580,16435.0,23,16440.0,87,16435.0,16435.0,16415.0,16415.0,764,-206,16415,17,16420,113
2016-09-30 08:06:00,08:06:00,08:06:58,7587,7876,16415.0,25,16420.0,122,16415.0,16425.0,16415.0,16425.0,504,268,16425,92,16430,221
2016-09-30 08:07:00,08:07:00,08:07:59,7883,8098,16425.0,109,16430.0,223,16425.0,16430.0,16420.0,16430.0,429,99,16430,10,16435,98
2016-09-30 08:08:00,08:08:10,08:08:56,8113,8329,16430.0,49,16435.0,82,16435.0,16440.0,16425.0,16440.0,328,102,16435,47,16440,72
2016-09-30 08:09:00,08:09:03,08:09:57,8339,8628,16435.0,51,16440.0,75,16435.0,16440.0,16430.0,16440.0,383,-195,16435,15,16440,65
2016-09-30 08:10:00,08:10:03,08:10:53,8642,8736,16435.0,17,16440.0,71,16435.0,16435.0,16430.0,16435.0,42,6,16430,58,16435,63
2016-09-30 08:11:00,08:11:01,08:11:59,8743,8864,16430.0,58,16435.0,67,16435.0,16435.0,16430.0,16435.0,45,19,16430,72,16435,80
2016-09-30 08:12:00,08:12:00,08:12:57,8865,9061,16430.0,76,16435.0,78,16430.0,16440.0,16430.0,16440.0,243,63,16435,59,16440,47
2016-09-30 08:13:00,08:13:02,08:13:55,9070,9281,16435.0,60,16440.0,45,16435.0,16450.0,16435.0,16450.0,236,136,16445,63,16450,54
2016-09-30 08:14:00,08:14:02,08:14:46,9289,9519,16445.0,61,16450.0,59,16445.0,16450.0,16445.0,16450.0,304,-60,16445,53,16450,29
2016-09-30 08:15:00,08:15:02,08:15:47,9538,9799,16445.0,43,16450.0,53,16445.0,16445.0,16430.0,16435.0,329,-204,16435,1,16440,87
2016-09-30 08:16:00,08:16:02,08:16:47,9811,10016,16435.0,29,16440.0,83,16435.0,16435.0,16430.0,16435.0,207,-81,16435,19,16440,88
2016-09-30 08:17:00,08:17:20,08:17:59,10064,10172,16435.0,43,16440.0,97,16435.0,16435.0,16435.0,16435.0,74,-74,16435,19,16440,102
2016-09-30 08:18:00,08:18:03,08:18:59,10178,10383,16435.0,17,16440.0,105,16435.0,16445.0,16435.0,16440.0,226,-28,16440,22,16445,123
2016-09-30 08:19:00,08:19:02,08:19:39,10392,10605,16440.0,37,16445.0,119,16445.0,16450.0,16440.0,16450.0,315,173,16445,67,16450,60
2016-09-30 08:20:00,08:20:01,08:20:55,10622,11135,16445.0,72,16450.0,72,16445.0,16445.0,16430.0,16440.0,685,-225,16435,58,16440,27
2016-09-30 08:21:00,08:21:02,08:21:46,11151,11352,16435.0,46,16440.0,50,16435.0,16435.0,16425.0,16425.0,212,-108,16425,53,16430,29
2016-09-30 08:22:00,08:22:02,08:22:58,11383,11844,16425.0,47,16430.0,54,16425.0,16445.0,16425.0,16440.0,670,255,16435,39,16440,29
2016-09-30 08:23:00,08:23:00,08:23:53,11855,12067,16435.0,30,16440.0,55,16440.0,16445.0,16435.0,16445.0,223,71,16445,17,16450,48
2016-09-30 08:24:00,08:24:00,08:24:50,12079,12262,16445.0,20,16450.0,60,16445.0,16450.0,16440.0,16445.0,248,74,16445,37,16450,60
2016-09-30 08:25:00,08:25:00,08:25:48,12266,12502,16445.0,37,16450.0,61,16445.0,16445.0,16435.0,16440.0,228,-120,16440,7,16445,69
2016-09-30 08:26:00,08:26:01,08:26:55,12519,12705,16440.0,49,16445.0,49,16440.0,16450.0,16440.0,16445.0,156,76,16445,24,16450,44
2016-09-30 08:27:00,08:27:01,08:27:57,12716,12900,16445.0,31,16450.0,42,16445.0,16455.0,16445.0,16445.0,180,-72,16445,3,16450,83
2016-09-30 08:28:00,08:28:02,08:28:54,12914,13119,16445.0,6,16450.0,84,16445.0,16445.0,16440.0,16440.0,174,48,16440,40,16445,67
2016-09-30 08:29:00,08:29:03,08:29:45,13136,13245,16440.0,59,16445.0,64,16440.0,16445.0,16440.0,16440.0,61,11,16440,55,16445,61
2016-09-30 08:30:00,08:30:01,08:30:54,13270,13453,16440.0,51,16445.0,62,16440.0,16445.0,16435.0,16440.0,180,8,16440,46,16445,42
2016-09-30 08:31:00,08:31:00,08:31:57,13458,13609,16440.0,48,16445.0,46,16440.0,16445.0,16440.0,16445.0,85,11,16445,39,16450,73
2016-09-30 08:32:00,08:32:07,08:32:59,13630,13874,16445.0,52,16450.0,78,16445.0,16445.0,16435.0,16440.0,369,78,16440,3,16445,53
