,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2017-01-23 08:00:00,08:00:00,08:00:59,4547,5323,18935.0,31,18940.0,2,18940.0,18945.0,18910.0,18930.0,1123,-184,18925,38,18930,39
2017-01-23 08:01:00,08:01:00,08:01:58,5326,5626,18925.0,38,18930.0,39,18930.0,18935.0,18920.0,18930.0,367,157,18930,30,18935,72
2017-01-23 08:02:00,08:02:00,08:02:49,5632,5944,18930.0,35,18935.0,67,18935.0,18935.0,18930.0,18935.0,353,189,18935,31,18940,56
2017-01-23 08:03:00,08:03:04,08:03:52,5970,6198,18935.0,51,18940.0,60,18935.0,18940.0,18930.0,18930.0,236,-80,18925,52,18930,41
2017-01-23 08:04:00,08:04:04,08:04:45,6218,6316,18925.0,41,18930.0,80,18930.0,18930.0,18925.0,18925.0,49,41,18925,47,18930,68
2017-01-23 08:05:00,08:05:01,08:05:57,6341,7021,18925.0,67,18930.0,82,18925.0,18925.0,18865.0,18870.0,881,-365,18865,49,18870,17
2017-01-23 08:06:00,08:06:02,08:06:55,7037,7334,18865.0,16,18870.0,41,18870.0,18880.0,18865.0,18875.0,302,188,18875,35,18880,38
2017-01-23 08:07:00,08:07:01,08:07:56,7350,7574,18875.0,35,18880.0,73,18880.0,18890.0,18875.0,18885.0,251,33,18885,24,18890,46
2017-01-23 08:08:00,08:08:00,08:08:54,7586,7768,18885.0,42,18890.0,18,18890.0,18900.0,18890.0,18900.0,233,141,18895,51,18900,99
2017-01-23 08:09:00,08:09:08,08:09:50,7788,7893,18895.0,54,18900.0,113,18895.0,18900.0,18895.0,18895.0,118,6,18895,56,18900,89
2017-01-23 08:10:00,08:10:00,08:10:54,7907,8275,18895.0,70,18900.0,84,18895.0,18895.0,18875.0,18875.0,433,-59,18875,84,18880,20
2017-01-23 08:11:00,08:11:00,08:11:49,8279,8782,18875.0,84,18880.0,27,18875.0,18895.0,18875.0,18890.0,874,52,18885,43,18890,29
2017-01-23 08:12:00,08:12:00,08:12:59,8792,9073,18885.0,41,18890.0,48,18885.0,18890.0,18880.0,18890.0,250,-62,18885,41,18890,47
2017-01-23 08:13:00,08:13:02,08:13:57,9082,9241,18885.0,46,18890.0,51,18890.0,18895.0,18890.0,18890.0,116,-8,18890,42,18895,70
2017-01-23 08:14:00,08:14:01,08:14:58,9244,9540,18890.0,41,18895.0,69,18890.0,18905.0,18890.0,18900.0,338,204,18900,46,18905,68
2017-01-23 08:15:00,08:15:02,08:15:59,9550,9973,18900.0,37,18905.0,71,18900.0,18910.0,18895.0,18905.0,446,3,18905,64,18910,34
2017-01-23 08:16:00,08:16:00,08:16:54,9974,10272,18905.0,66,18910.0,26,18905.0,18920.0,18905.0,18920.0,307,113,18920,51,18925,28
2017-01-23 08:17:00,08:17:00,08:17:57,10281,10649,18920.0,46,18925.0,43,18920.0,18920.0,18905.0,18915.0,448,-152,18910,42,18915,54
2017-01-23 08:18:00,08:18:00,08:18:59,10656,10890,18910.0,43,18915.0,55,18910.0,18915.0,18905.0,18905.0,334,-158,18905,41,18910,101
2017-01-23 08:19:00,08:19:00,08:19:56,10894,11331,18905.0,41,18910.0,98,18905.0,18905.0,18875.0,18875.0,527,-247,18875,44,18880,33
2017-01-23 08:20:00,08:20:00,08:20:57,11343,11678,18875.0,58,18880.0,55,18880.0,18880.0,18870.0,18870.0,349,119,18870,44,18875,54
2017-01-23 08:21:00,08:21:00,08:21:59,11685,11954,18870.0,53,18875.0,45,18875.0,18890.0,18870.0,18885.0,265,125,18880,61,18885,35
2017-01-23 08:22:00,08:22:00,08:22:59,11958,12323,18880.0,60,18885.0,35,18885.0,18895.0,18880.0,18880.0,311,82,18880,46,18885,29
2017-01-23 08:23:00,08:23:09,08:23:51,12347,12565,18880.0,37,18885.0,48,18880.0,18885.0,18875.0,18880.0,154,-15,18875,48,18880,24
2017-01-23 08:24:00,08:24:00,08:24:58,12577,12853,18875.0,33,18880.0,45,18875.0,18885.0,18870.0,18870.0,205,-119,18870,37,18875,44
2017-01-23 08:25:00,08:25:03,08:25:59,12863,13433,18870.0,10,18875.0,63,18870.0,18890.0,18860.0,18880.0,637,-87,18880,22,18885,45
2017-01-23 08:26:00,08:26:04,08:26:54,13445,13642,18880.0,14,18885.0,61,18880.0,18885.0,18875.0,18885.0,190,118,18885,30,18890,52
2017-01-23 08:27:00,08:27:03,08:27:51,13668,14042,18885.0,39,18890.0,43,18885.0,18905.0,18885.0,18900.0,355,45,18900,37,18905,28
2017-01-23 08:28:00,08:28:02,08:28:57,14067,14244,18900.0,42,18905.0,23,18905.0,18905.0,18900.0,18905.0,83,-35,18905,44,18910,49
2017-01-23 08:29:00,08:29:01,08:29:58,14250,14511,18905.0,44,18910.0,55,18905.0,18915.0,18900.0,18900.0,220,-80,18900,34,18905,57
2017-01-23 08:30:00,08:30:01,08:30:56,14516,14705,18900.0,30,18905.0,57,18900.0,18905.0,18895.0,18900.0,137,-44,18900,34,18905,48
2017-01-23 08:31:00,08:31:01,08:31:53,14720,14885,18900.0,29,18905.0,53,18900.0,18905.0,18895.0,18900.0,105,-65,18900,40,18905,72
2017-01-23 08:32:00,08:32:01,08:32:54,14897,15119,18900.0,35,18905.0,75,18900.0,18910.0,18900.0,18905.0,209,55,18905,34,18910,50
2017-01-23 08:33:00,08:33:04,08:33:56,15139,15288,18905.0,42,18910.0,45,18905.0,18910.0,18905.0,18905.0,87,3,18905,22,18910,62
2017-01-23 08:34:00,08:34:04,08:34:56,15300,15407,18905.0,21,18910.0,63,18905.0,18905.0,18900.0,18900.0,38,-28,18900,13,18905,53
2017-01-23 08:35:00,08:35:06,08:35:57,15425,15592,18900.0,36,18905.0,52,18900.0,18900.0,18900.0,18900.0,149,-28,18900,9,18905,58
2017-01-23 08:36:00,08:36:00,08:36:56,15598,15869,18900.0,11,18905.0,54,18900.0,18900.0,18890.0,18895.0,307,-170,18890,49,18895,31
2017-01-23 08:37:00,08:37:00,08:37:51,15875,16090,18890.0,49,18895.0,33,18895.0,18895.0,18875.0,18880.0,190,-134,18875,53,18880,11
2017-01-23 08:38:00,08:38:00,08:38:58,16117,16305,18875.0,22,18880.0,64,18875.0,18875.0,18870.0,18870.0,172,-54,18870,24,18875,90
2017-01-23 08:39:00,08:39:01,08:39:52,16312,16584,18870.0,15,18875.0,95,18870.0,18875.0,18865.0,18870.0,330,132,18870,14,18875,64
2017-01-23 08:40:00,08:40:00,08:40:57,16603,16946,18870.0,25,18875.0,65,18870.0,18880.0,18870.0,18875.0,485,163,18870,53,18875,24
2017-01-23 08:41:00,08:41:03,08:41:58,16954,17134,18870.0,40,18875.0,35,18870.0,18875.0,18870.0,18875.0,159,-17,18875,12,18880,95
2017-01-23 08:42:00,08:42:01,08:42:59,17139,17373,18875.0,18,18880.0,95,18880.0,18890.0,18875.0,18880.0,309,159,18880,40,18885,42
2017-01-23 08:43:00,08:43:10,08:43:54,17391,17586,18880.0,29,18885.0,52,18880.0,18885.0,18880.0,18880.0,166,-32,18880,37,18885,48
2017-01-23 08:44:00,08:44:07,08:44:52,17604,17758,18880.0,52,18885.0,26,18885.0,18895.0,18885.0,18890.0,99,73,18885,35,18895,47
2017-01-23 08:45:00,08:45:02,08:45:49,17777,17872,18885.0,46,18890.0,7,18885.0,18890.0,18885.0,18885.0,8,2,18885,22,18890,42
2017-01-23 08:46:00,08:46:00,08:46:59,17883,18106,18885.0,31,18890.0,43,18885.0,18900.0,18885.0,18900.0,131,9,18895,39,18900,39
2017-01-23 08:47:00,08:47:00,08:47:55,18109,18321,18895.0,39,18900.0,39,18895.0,18895.0,18890.0,18895.0,149,-13,18890,56,18895,54
2017-01-23 08:48:00,08:48:00,08:48:56,18326,18456,18890.0,56,18895.0,58,18890.0,18900.0,18890.0,18900.0,94,58,18895,55,18900,18
2017-01-23 08:49:00,08:49:04,08:49:58,18479,18642,18895.0,44,18900.0,44,18895.0,18905.0,18895.0,18905.0,108,-6,18900,50,18905,7
2017-01-23 08:50:00,08:50:02,08:50:59,18651,18815,18900.0,41,18905.0,24,18905.0,18915.0,18905.0,18910.0,132,47,18905,55,18910,1
2017-01-23 08:51:00,08:51:02,08:51:56,18822,19108,18910.0,11,18915.0,53,18910.0,18915.0,18905.0,18915.0,350,206,18915,13,18920,77
2017-01-23 08:52:00,08:52:11,08:52:57,19130,19320,18915.0,19,18920.0,77,18915.0,18920.0,18915.0,18920.0,148,78,18920,39,18925,58
2017-01-23 08:53:00,08:53:13,08:53:58,19340,19677,18920.0,50,18925.0,59,18920.0,18930.0,18915.0,18925.0,320,-12,18920,47,18925,35
2017-01-23 08:54:00,08:54:00,08:54:59,19680,19921,18920.0,45,18925.0,33,18925.0,18925.0,18915.0,18915.0,164,-74,18915,20,18920,43
2017-01-23 08:55:00,08:55:08,08:55:52,19933,20090,18915.0,36,18920.0,44,18915.0,18915.0,18905.0,18915.0,125,39,18910,51,18915,33
2017-01-23 08:56:00,08:56:07,08:56:56,20108,20241,18910.0,51,18915.0,11,18915.0,18915.0,18915.0,18915.0,103,14,18915,5,18920,52
2017-01-23 08:57:00,08:57:00,08:57:49,20249,20320,18915.0,37,18920.0,46,18920.0,18920.0,18915.0,18915.0,43,-39,18915,28,18920,49
2017-01-23 08:58:00,08:58:20,08:58:55,20347,20462,18915.0,45,18920.0,38,18920.0,18920.0,18915.0,18915.0,76,0,18915,30,18920,48
2017-01-23 08:59:00,08:59:04,08:59:59,20478,20619,18915.0,37,18920.0,48,18915.0,18915.0,18910.0,18915.0,74,-12,18910,62,18915,48
2017-01-23 09:00:00,09:00:00,09:00:55,20622,20851,18910.0,62,18915.0,48,18910.0,18915.0,18910.0,18915.0,268,14,18915,24,18920,42
2017-01-23 09:01:00,09:01:09,09:01:59,20865,21096,18915.0,31,18920.0,44,18920.0,18925.0,18915.0,18925.0,202,73,18920,44,18925,7
2017-01-23 09:02:00,09:02:06,09:02:59,21113,21371,18920.0,42,18925.0,12,18925.0,18940.0,18925.0,18935.0,245,95,18935,13,18940,43
2017-01-23 09:03:00,09:03:15,09:03:59,21397,21782,18935.0,28,18940.0,51,18940.0,18955.0,18940.0,18950.0,387,107,18945,41,18950,20
2017-01-23 09:04:00,09:04:00,09:04:53,21783,21994,18950.0,9,18955.0,50,18950.0,18950.0,18945.0,18945.0,157,-29,18945,27,18950,47
2017-01-23 09:05:00,09:05:00,09:05:57,22002,22185,18945.0,34,18950.0,48,18945.0,18950.0,18945.0,18945.0,185,-47,18945,12,18950,49
2017-01-23 09:06:00,09:06:00,09:06:59,22191,22430,18945.0,17,18950.0,49,18945.0,18950.0,18945.0,18945.0,189,9,18945,37,18950,55
2017-01-23 09:07:00,09:07:00,09:07:59,22433,22617,18945.0,37,18950.0,55,18945.0,18945.0,18940.0,18940.0,169,-109,18940,23,18945,95
2017-01-23 09:08:00,09:08:00,09:08:58,22621,22820,18940.0,27,18945.0,95,18940.0,18955.0,18940.0,18955.0,174,105,18950,51,18955,29
2017-01-23 09:09:00,09:09:00,09:09:59,22825,22965,18950.0,53,18955.0,31,18950.0,18960.0,18950.0,18960.0,66,-2,18955,71,18960,40
2017-01-23 09:10:00,09:10:01,09:10:44,22969,23162,18955.0,71,18960.0,87,18960.0,18960.0,18950.0,18950.0,275,67,18950,9,18955,56
2017-01-23 09:11:00,09:11:03,09:11:58,23187,23356,18950.0,38,18955.0,54,18950.0,18950.0,18940.0,18940.0,115,-109,18940,11,18945,68
2017-01-23 09:12:00,09:12:00,09:12:58,23361,23487,18940.0,5,18945.0,69,18940.0,18940.0,18930.0,18930.0,88,-82,18930,41,18935,46
2017-01-23 09:13:00,09:13:04,09:13:30,23499,23624,18930.0,42,18935.0,42,18930.0,18935.0,18930.0,18935.0,118,62,18930,50,18935,19
2017-01-23 09:14:00,09:14:04,09:14:42,23670,23754,18930.0,41,18935.0,46,18930.0,18930.0,18930.0,18930.0,56,-56,18925,52,18930,99
2017-01-23 09:15:00,09:15:01,09:15:59,23773,23984,18925.0,51,18930.0,111,18925.0,18940.0,18925.0,18930.0,314,52,18930,19,18935,62
2017-01-23 09:16:00,09:16:01,09:16:55,23987,24113,18930.0,21,18935.0,65,18930.0,18935.0,18930.0,18930.0,110,18,18925,52,18930,40
