,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-08-11 08:00:00,08:00:00,08:00:56,892,1106,16610.0,5,16615.0,5,16615.0,16625.0,16585.0,16605.0,294,-158,16605,9,16610,3
2016-08-11 08:01:00,08:01:03,08:01:28,1112,1167,16605.0,10,16610.0,4,16605.0,16620.0,16605.0,16615.0,35,9,16615,5,16620,5
2016-08-11 08:02:00,08:02:03,08:02:52,1178,1184,16615.0,3,16620.0,13,16615.0,16615.0,16615.0,16615.0,3,-3,16610,3,16615,10
2016-08-11 08:03:00,08:03:00,08:03:57,1188,1206,16610.0,5,16615.0,10,16610.0,16610.0,16605.0,16605.0,10,-10,16600,8,16605,11
2016-08-11 08:04:00,08:04:02,08:04:25,1211,1245,16600.0,7,16605.0,13,16600.0,16605.0,16600.0,16600.0,26,10,16600,3,16605,6
2016-08-11 08:05:00,08:05:20,08:05:45,1258,1273,16600.0,12,16605.0,4,16605.0,16610.0,16605.0,16605.0,8,6,16605,7,16610,3
2016-08-11 08:06:00,08:06:13,08:06:51,1280,1339,16605.0,3,16610.0,6,16605.0,16605.0,16595.0,16605.0,58,-16,16600,22,16610,6
2016-08-11 08:07:00,08:07:20,08:07:26,1349,1358,16600.0,20,16605.0,10,16605.0,16605.0,16600.0,16600.0,7,1,16600,17,16605,6
2016-08-11 08:08:00,08:08:05,08:08:52,1368,1411,16600.0,16,16605.0,21,16600.0,16600.0,16590.0,16595.0,31,-23,16590,14,16600,28
2016-08-11 08:09:00,08:09:17,08:09:38,1420,1470,16590.0,13,16595.0,1,16590.0,16590.0,16585.0,16585.0,75,-43,16585,9,16590,7
2016-08-11 08:10:00,08:10:20,08:10:36,1479,1487,16585.0,10,16590.0,31,16590.0,16590.0,16590.0,16590.0,7,5,16590,7,16595,12
2016-08-11 08:11:00,08:11:04,08:11:56,1492,1529,16590.0,9,16595.0,12,16590.0,16595.0,16590.0,16595.0,29,1,16590,9,16595,10
2016-08-11 08:12:00,08:12:20,08:12:58,1537,1568,16590.0,5,16595.0,17,16595.0,16600.0,16590.0,16595.0,23,17,16595,9,16600,10
2016-08-11 08:13:00,08:13:03,08:13:58,1572,1642,16595.0,4,16600.0,10,16600.0,16605.0,16595.0,16595.0,57,27,16595,4,16600,16
2016-08-11 08:14:00,08:14:34,08:14:55,1648,1691,16595.0,5,16600.0,5,16600.0,16605.0,16595.0,16605.0,30,20,16600,7,16605,4
2016-08-11 08:15:00,08:15:26,08:15:26,1699,1699,16600.0,4,16605.0,9,16605.0,16605.0,16605.0,16605.0,1,1,16600,5,16605,8
2016-08-11 08:16:00,08:16:00,08:16:00,0,0,0.0,0,0.0,0,16605.0,16605.0,16605.0,16605.0,0,0,0,0,0,0
2016-08-11 08:17:00,08:17:02,08:17:57,1707,1720,16600.0,17,16605.0,12,16600.0,16605.0,16600.0,16605.0,5,1,16600,14,16605,15
2016-08-11 08:18:00,08:18:02,08:18:57,1722,1728,16600.0,15,16605.0,15,16600.0,16605.0,16600.0,16605.0,3,-1,16600,13,16605,16
2016-08-11 08:19:00,08:19:02,08:19:44,1730,1756,16600.0,14,16605.0,16,16600.0,16605.0,16600.0,16600.0,14,6,16600,14,16605,6
2016-08-11 08:20:00,08:20:06,08:20:59,1764,1818,16600.0,11,16605.0,16,16605.0,16610.0,16605.0,16605.0,59,-17,16600,15,16605,34
2016-08-11 08:21:00,08:21:00,08:21:37,1821,1842,16600.0,15,16605.0,34,16600.0,16605.0,16600.0,16605.0,17,3,16600,8,16605,25
2016-08-11 08:22:00,08:22:07,08:22:38,1847,1864,16600.0,9,16605.0,27,16605.0,16605.0,16600.0,16600.0,14,10,16600,8,16605,18
2016-08-11 08:23:00,08:23:07,08:23:08,1869,1873,16600.0,9,16605.0,20,16605.0,16605.0,16605.0,16605.0,8,8,16600,10,16605,11
2016-08-11 08:24:00,08:24:01,08:24:42,1879,1910,16600.0,9,16605.0,13,16605.0,16615.0,16605.0,16610.0,25,19,16610,7,16615,10
2016-08-11 08:25:00,08:25:01,08:25:51,1912,1971,16610.0,7,16615.0,11,16615.0,16630.0,16615.0,16630.0,51,45,16630,4,16635,10
2016-08-11 08:26:00,08:26:01,08:26:57,1974,2024,16630.0,4,16635.0,10,16630.0,16635.0,16625.0,16630.0,33,17,16630,14,16635,9
2016-08-11 08:27:00,08:27:00,08:27:00,0,0,0.0,0,0.0,0,16630.0,16630.0,16630.0,16630.0,0,0,0,0,0,0
2016-08-11 08:28:00,08:28:04,08:28:14,2029,2053,16630.0,17,16635.0,10,16630.0,16630.0,16620.0,16625.0,28,-12,16620,6,16625,2
2016-08-11 08:29:00,08:29:07,08:29:07,2061,2062,16620.0,5,16625.0,5,16625.0,16625.0,16625.0,16625.0,2,2,16620,6,16625,3
2016-08-11 08:30:00,08:30:36,08:30:39,2069,2077,16620.0,4,16625.0,11,16625.0,16625.0,16620.0,16620.0,7,5,16620,7,16625,6
2016-08-11 08:31:00,08:31:06,08:31:44,2081,2124,16620.0,8,16625.0,6,16625.0,16630.0,16625.0,16630.0,19,12,16630,3,16635,11
2016-08-11 08:32:00,08:32:23,08:32:36,2129,2150,16630.0,3,16635.0,14,16630.0,16635.0,16630.0,16635.0,13,1,16630,6,16635,9
2016-08-11 08:33:00,08:33:05,08:33:43,2155,2167,16630.0,8,16635.0,9,16635.0,16635.0,16630.0,16630.0,8,2,16630,6,16635,6
2016-08-11 08:34:00,08:34:00,08:34:00,0,0,0.0,0,0.0,0,16630.0,16630.0,16630.0,16630.0,0,0,0,0,0,0
2016-08-11 08:35:00,08:35:00,08:35:00,0,0,0.0,0,0.0,0,16630.0,16630.0,16630.0,16630.0,0,0,0,0,0,0
2016-08-11 08:36:00,08:36:05,08:36:59,2175,2188,16630.0,6,16635.0,9,16630.0,16635.0,16630.0,16635.0,7,3,16630,12,16640,8
2016-08-11 08:37:00,08:37:29,08:37:59,2193,2206,16630.0,12,16640.0,8,16640.0,16640.0,16640.0,16640.0,8,8,16635,11,16645,33
2016-08-11 08:38:00,08:38:03,08:38:59,2209,2242,16635.0,12,16645.0,34,16635.0,16640.0,16635.0,16640.0,15,-7,16635,8,16640,17
2016-08-11 08:39:00,08:39:00,08:39:29,2243,2259,16635.0,7,16640.0,23,16640.0,16640.0,16635.0,16640.0,11,9,16635,7,16640,12
2016-08-11 08:40:00,08:40:02,08:40:58,2263,2306,16635.0,7,16640.0,13,16640.0,16640.0,16625.0,16625.0,17,-9,16625,1,16625,3
2016-08-11 08:41:00,08:41:00,08:41:13,2308,2324,16625.0,1,16630.0,14,16625.0,16625.0,16620.0,16620.0,5,-5,16620,10,16625,9
2016-08-11 08:42:00,08:42:00,08:42:36,2331,2350,16620.0,11,16625.0,10,16620.0,16625.0,16620.0,16625.0,10,4,16625,8,16630,4
2016-08-11 08:43:00,08:43:06,08:43:19,2356,2385,16625.0,10,16630.0,5,16630.0,16630.0,16630.0,16630.0,17,5,16625,6,16630,9
2016-08-11 08:44:00,08:44:06,08:44:37,2391,2400,16625.0,7,16630.0,12,16630.0,16630.0,16630.0,16630.0,7,7,16625,10,16630,2
2016-08-11 08:45:00,08:45:06,08:45:28,2405,2415,16625.0,9,16630.0,5,16630.0,16630.0,16625.0,16625.0,8,-6,16620,11,16625,2
2016-08-11 08:46:00,08:46:30,08:46:41,2423,2431,16620.0,9,16625.0,4,16620.0,16625.0,16620.0,16625.0,5,3,16620,9,16630,11
2016-08-11 08:47:00,08:47:00,08:47:00,0,0,0.0,0,0.0,0,16625.0,16625.0,16625.0,16625.0,0,0,0,0,0,0
2016-08-11 08:48:00,08:48:22,08:48:44,2442,2465,16625.0,8,16630.0,9,16625.0,16625.0,16620.0,16625.0,22,-4,16625,5,16630,10
2016-08-11 08:49:00,08:49:15,08:49:40,2475,2494,16625.0,10,16630.0,8,16625.0,16630.0,16625.0,16630.0,11,3,16630,9,16635,5
2016-08-11 08:50:00,08:50:00,08:50:42,2499,2547,16630.0,11,16635.0,4,16635.0,16645.0,16630.0,16640.0,26,6,16635,19,16645,16
2016-08-11 08:51:00,08:51:00,08:51:00,0,0,0.0,0,0.0,0,16640.0,16640.0,16640.0,16640.0,0,0,0,0,0,0
2016-08-11 08:52:00,08:52:32,08:52:42,2561,2658,16640.0,7,16645.0,12,16640.0,16645.0,16635.0,16645.0,104,14,16645,8,16650,23
2016-08-11 08:53:00,08:53:26,08:53:46,2665,2670,16645.0,15,16650.0,23,16645.0,16645.0,16645.0,16645.0,4,-4,16645,8,16650,23
2016-08-11 08:54:00,08:54:01,08:54:45,2673,2693,16645.0,8,16650.0,23,16645.0,16645.0,16640.0,16640.0,16,-16,16640,8,16645,7
