,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-11-09 08:00:00,08:00:00,08:00:50,3762,4163,17295.0,10,17300.0,37,17295.0,17310.0,17295.0,17305.0,511,74,17300,27,17305,2
2016-11-09 08:01:00,08:01:03,08:01:59,4179,4501,17300.0,21,17305.0,17,17305.0,17305.0,17290.0,17305.0,382,42,17300,81,17310,40
2016-11-09 08:02:00,08:02:00,08:02:59,4505,4734,17305.0,2,17310.0,40,17305.0,17310.0,17300.0,17300.0,326,-76,17300,2,17305,55
2016-11-09 08:03:00,08:03:02,08:03:51,4746,5038,17300.0,10,17305.0,54,17300.0,17305.0,17290.0,17290.0,356,1,17285,26,17290,12
2016-11-09 08:04:00,08:04:02,08:04:57,5069,5378,17285.0,27,17290.0,32,17290.0,17315.0,17290.0,17315.0,419,267,17310,24,17315,18
2016-11-09 08:05:00,08:05:05,08:05:52,5392,5567,17310.0,36,17315.0,31,17310.0,17315.0,17305.0,17305.0,168,40,17305,20,17310,50
2016-11-09 08:06:00,08:06:05,08:06:59,5578,5989,17305.0,25,17310.0,54,17310.0,17310.0,17270.0,17280.0,496,-203,17275,8,17280,27
2016-11-09 08:07:00,08:07:00,08:07:57,5990,6765,17275.0,24,17285.0,27,17275.0,17300.0,17270.0,17300.0,913,-36,17295,29,17305,28
2016-11-09 08:08:00,08:08:00,08:08:56,6775,7138,17300.0,22,17305.0,31,17300.0,17310.0,17300.0,17305.0,344,-130,17300,42,17305,17
2016-11-09 08:09:00,08:09:00,08:09:58,7149,7366,17300.0,42,17305.0,23,17305.0,17305.0,17300.0,17300.0,188,-42,17295,34,17300,59
2016-11-09 08:10:00,08:10:03,08:10:53,7380,7596,17295.0,40,17300.0,43,17295.0,17300.0,17295.0,17300.0,195,-5,17295,42,17300,18
2016-11-09 08:11:00,08:11:18,08:11:56,7649,7841,17295.0,43,17300.0,29,17300.0,17305.0,17300.0,17300.0,229,-71,17295,50,17300,19
2016-11-09 08:12:00,08:12:00,08:12:57,7852,8233,17295.0,49,17300.0,7,17300.0,17315.0,17300.0,17310.0,417,77,17305,70,17310,24
2016-11-09 08:13:00,08:13:01,08:13:59,8244,8691,17305.0,73,17310.0,23,17310.0,17315.0,17300.0,17300.0,465,-142,17300,1,17305,44
2016-11-09 08:14:00,08:14:00,08:14:59,8696,9467,17295.0,44,17300.0,29,17295.0,17305.0,17285.0,17295.0,1017,-20,17290,30,17295,63
2016-11-09 08:15:00,08:15:00,08:15:56,9472,10187,17290.0,33,17295.0,57,17290.0,17300.0,17285.0,17290.0,986,55,17290,35,17295,31
2016-11-09 08:16:00,08:16:02,08:16:54,10202,10576,17290.0,33,17295.0,29,17290.0,17305.0,17290.0,17305.0,345,24,17300,34,17305,5
2016-11-09 08:17:00,08:17:00,08:17:53,10591,10940,17300.0,30,17305.0,58,17305.0,17320.0,17305.0,17310.0,330,76,17310,18,17315,37
2016-11-09 08:18:00,08:18:09,08:18:56,10985,11251,17310.0,16,17315.0,37,17310.0,17315.0,17305.0,17310.0,221,-36,17310,21,17315,33
2016-11-09 08:19:00,08:19:00,08:19:59,11266,11810,17310.0,8,17315.0,35,17310.0,17320.0,17305.0,17315.0,571,-47,17310,30,17315,21
2016-11-09 08:20:00,08:20:00,08:20:56,11814,12304,17310.0,30,17315.0,16,17315.0,17315.0,17290.0,17315.0,486,-92,17310,36,17315,3
2016-11-09 08:21:00,08:21:02,08:21:59,12321,13169,17310.0,37,17315.0,36,17310.0,17310.0,17270.0,17270.0,1054,-284,17270,15,17275,36
2016-11-09 08:22:00,08:22:00,08:22:59,13174,13671,17270.0,40,17275.0,23,17275.0,17280.0,17250.0,17265.0,580,93,17260,34,17265,9
2016-11-09 08:23:00,08:23:00,08:23:58,13674,14120,17260.0,34,17265.0,9,17265.0,17270.0,17260.0,17270.0,351,42,17265,53,17275,38
2016-11-09 08:24:00,08:24:00,08:24:57,14128,14484,17265.0,51,17270.0,27,17265.0,17270.0,17260.0,17270.0,297,-88,17265,26,17270,20
2016-11-09 08:25:00,08:25:00,08:25:59,14489,14971,17265.0,33,17270.0,18,17270.0,17290.0,17255.0,17290.0,456,125,17285,71,17295,36
2016-11-09 08:26:00,08:26:00,08:26:58,14974,15356,17285.0,71,17295.0,36,17290.0,17300.0,17285.0,17300.0,353,19,17295,26,17300,11
2016-11-09 08:27:00,08:27:00,08:27:51,15366,15696,17295.0,19,17300.0,30,17300.0,17300.0,17290.0,17295.0,268,-3,17290,33,17295,8
2016-11-09 08:28:00,08:28:03,08:28:54,15718,15975,17290.0,32,17295.0,20,17295.0,17305.0,17295.0,17300.0,196,34,17300,3,17305,28
2016-11-09 08:29:00,08:29:00,08:29:59,15982,16264,17300.0,16,17305.0,28,17305.0,17305.0,17290.0,17305.0,246,-63,17300,39,17305,24
2016-11-09 08:30:00,08:30:03,08:30:55,16271,16422,17300.0,38,17305.0,25,17305.0,17305.0,17300.0,17300.0,84,-59,17300,22,17305,35
