,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2017-01-04 08:00:00,08:00:00,08:00:58,3247,3841,19265.0,86,19270.0,13,19270.0,19300.0,19265.0,19275.0,916,446,19275,33,19280,49
2017-01-04 08:01:00,08:01:00,08:01:58,3844,4111,19275.0,34,19280.0,53,19280.0,19290.0,19270.0,19290.0,299,95,19290,13,19295,38
2017-01-04 08:02:00,08:02:00,08:02:59,4117,4601,19290.0,13,19295.0,59,19290.0,19325.0,19290.0,19325.0,512,239,19325,10,19330,81
2017-01-04 08:03:00,08:03:00,08:03:56,4605,4918,19325.0,19,19330.0,81,19325.0,19335.0,19320.0,19335.0,335,79,19330,82,19335,2
2017-01-04 08:04:00,08:04:02,08:04:58,4935,5271,19330.0,80,19335.0,37,19335.0,19345.0,19330.0,19345.0,382,113,19345,48,19350,66
2017-01-04 08:05:00,08:05:03,08:05:59,5286,5652,19345.0,64,19350.0,58,19350.0,19350.0,19335.0,19340.0,473,80,19335,65,19345,72
2017-01-04 08:06:00,08:06:00,08:06:59,5656,5892,19340.0,9,19345.0,72,19340.0,19340.0,19330.0,19330.0,190,-112,19325,55,19330,28
2017-01-04 08:07:00,08:07:01,08:07:59,5900,6139,19325.0,62,19330.0,26,19330.0,19340.0,19325.0,19335.0,258,118,19335,47,19340,37
2017-01-04 08:08:00,08:08:09,08:08:59,6161,6343,19335.0,60,19340.0,25,19335.0,19340.0,19335.0,19335.0,173,27,19335,45,19340,38
2017-01-04 08:09:00,08:09:00,08:09:42,6348,6433,19335.0,47,19340.0,42,19340.0,19345.0,19340.0,19340.0,66,-24,19340,50,19345,36
2017-01-04 08:10:00,08:10:02,08:10:51,6463,6703,19340.0,84,19345.0,14,19345.0,19365.0,19345.0,19365.0,237,197,19360,64,19365,45
2017-01-04 08:11:00,08:11:00,08:11:41,6715,6917,19360.0,64,19365.0,42,19365.0,19365.0,19350.0,19355.0,267,-181,19350,70,19355,38
2017-01-04 08:12:00,08:12:00,08:12:48,6941,7105,19350.0,67,19355.0,44,19350.0,19360.0,19350.0,19360.0,181,85,19355,71,19360,36
2017-01-04 08:13:00,08:13:08,08:13:59,7131,7349,19355.0,67,19360.0,57,19355.0,19360.0,19355.0,19355.0,230,-52,19350,90,19355,1
2017-01-04 08:14:00,08:14:00,08:14:55,7353,7656,19350.0,90,19355.0,5,19355.0,19355.0,19340.0,19345.0,372,-115,19345,48,19350,80
2017-01-04 08:15:00,08:15:02,08:15:57,7669,7946,19345.0,80,19350.0,66,19350.0,19370.0,19345.0,19365.0,337,6,19360,45,19365,31
2017-01-04 08:16:00,08:16:00,08:16:53,7952,8284,19360.0,31,19365.0,57,19360.0,19375.0,19355.0,19370.0,369,17,19365,42,19370,22
2017-01-04 08:17:00,08:17:00,08:17:51,8295,8486,19365.0,42,19370.0,46,19365.0,19370.0,19365.0,19365.0,159,23,19360,57,19365,12
2017-01-04 08:18:00,08:18:00,08:18:58,8499,8647,19360.0,55,19365.0,25,19365.0,19370.0,19360.0,19370.0,140,30,19365,62,19370,39
2017-01-04 08:19:00,08:19:02,08:19:52,8655,8806,19365.0,65,19370.0,45,19370.0,19375.0,19370.0,19375.0,107,1,19370,50,19375,45
2017-01-04 08:20:00,08:20:00,08:20:55,8820,9006,19370.0,91,19375.0,19,19375.0,19385.0,19375.0,19385.0,194,138,19380,81,19385,10
2017-01-04 08:21:00,08:21:02,08:21:56,9018,9255,19380.0,88,19385.0,19,19380.0,19385.0,19375.0,19375.0,215,-161,19375,16,19380,85
2017-01-04 08:22:00,08:22:14,08:22:53,9270,9461,19375.0,49,19380.0,83,19380.0,19380.0,19370.0,19370.0,200,-8,19370,42,19375,72
2017-01-04 08:23:00,08:23:00,08:23:57,9469,9696,19370.0,58,19375.0,35,19375.0,19380.0,19370.0,19370.0,219,-11,19365,60,19370,13
2017-01-04 08:24:00,08:24:03,08:24:49,9710,9843,19365.0,72,19370.0,16,19370.0,19370.0,19365.0,19370.0,153,109,19370,5,19375,67
2017-01-04 08:25:00,08:25:05,08:25:55,9872,10121,19370.0,90,19375.0,46,19375.0,19375.0,19370.0,19370.0,227,-127,19370,13,19375,57
