Country,National Rate,Currency,Currency/USD,MinTax(%),MinTax(Cur),MinTax(USD),ProgressiveTaxRange,Branch Tax (Foreign Office),CategoryRate,Remarks
Albania,0.15,ALL,0.009322975,0,0,0,"0 <= 2000000 == 0.000, 2000000 <= 8000000 == 0.050, > 8000000 == 0.150",0.15,,
Algeria,0.23,DZD,0.008705215,0,10000,87.05,,0.15,,
Andorra,0.1,EUR,1.231664447,0,0,0,,0.1,,
Anguilla,0,XCD,0.370432126,0,0,0,,0,,
Antigua and Barbuda,0.25,XCD,0.370432126,0,0,0,,0.25,,International Companies exempt for first 50 years
Argentina,0.33,ARS,0.049176978,0,0,0,,0.3,,
Armenia,0.2,AMD,0.00208017,0,0,0,,0.2,,
Aruba,0.25,AWG,0.558659218,0,0,0,,0.25,,
Australia,0.3,AUD,0.780249413,0,0,0,"0 <= 50000000 == 0.275, > 50000000 == 0.300",0.3,,
Austria,0.25,EUR,1.231664447,0,1750,2155.41,,0.25,,
Azerbaijan,0.2,AZN,0.58823912,0,0,0,,0.1,,
Bahamas,0,BSD,1,0,0,0,,0,,
Bahrain,0,BHD,2.659574468,0,0,0,,0,oil == 0.460,
Bangladesh,0.25,BDT,0.012000822,0.006,0,0,,0.2,,
Barbados,0.25,BBD,0.5,0,0,0,,0.1,,
Belarus,0.18,BYN,0.5128205,0,0,0,,0.18,,
Belgium,0.33,EUR,1.231664447,0,0,0,"0 <= 100000 == 0.200, > 100000 == 0.290",0.29,,
Benin,0.3,XAF,0.00187766,0.0075,0,0,"0 <= 200000 == 0.0075, > 200000 == 0.300",0.15,,
Bermuda,0,BMD,1,0,0,0,,0,,
Bolivia,0.25,BOB,0.144404624,0,0,0,,0.25,,
Bosnia and Herzegovina,0.1,BAM,0.629740032,0,0,0,,0.1,,
Botswana,0.22,BWP,0.104256996,0,0,0,,0.3,,
Brazil,0.34,BRL,0.306054465,0,0,0,,0.34,,
British Virgin Islands,0,USD,1,0,0,0,,0,,
Brunei,0.19,BND,0.758404453,0,0,0,,0.19,"oil == 0.550, gas == 0.550",
Bulgaria,0.1,BGN,0.629740032,0,0,0,,0.1,,
Burundi,0.3,BIF,0.000567866,0,0,0,,0.3,,
Cambodia,0.2,KHR,0.000250063,0,0,0,,0.14,,
Cameroon,0.33,XAF,0.00187766,0,0,0,,0.3,,
Canada,0.15,CAD,0.777189433,0,0,0,,0.15,,
Cayman Islands,0,KYD,1.21868157,0,0,0,,0,,
Chad,0.35,XAF,0.00187766,0.015,0,0,,0.35,,
Chile,0.26,CLP,0.001649891,0,0,0,,0.25,,
China,0.25,CNY,0.157918398,0,0,0,,0.25,,
Colombia,0.34,COP,0.000347706,0,0,0,,0.33,,
Congo (Brazzaville),0.3,CDF,0.00063674,0.01,500000,318.37,"0 <= 10000000 == 0.010, > 10000000 == 0.300",0.15,,
Congo (Dem. Rep.),0.35,CDF,0.00063674,0,0,0,,0.35,,
Cook Islands,0.2,NZD,0.727985922,0,0,0,,0.28,,
Costa Rica,0.3,CRC,0.001750241,0,0,0,,0.15,,
Croatia,0.18,HRK,0.165992152,0,0,0,"0 <= 3000000 == 0.120, > 3000000 == 0.180",0.18,,
Curacao,0.22,ANG,0.561009809,0,0,0,,0.22,,
Cyprus,0.13,EUR,1.231664447,0,0,0,,0.13,,
Czech Republic,0.19,CZK,0.048408009,0,0,0,,0.19,,
Denmark,0.22,DKK,0.16535159,0,0,0,,0.22,"oil == 0.250, gas == 0.250",
Dominica,0.25,XCD,0.370432126,0,0,0,,0.15,,
Dominican Republic,0.27,DOP,0.020084407,0,0,0,,0.1,,
Ecuador,0.25,USD,1,0,0,0,,0.25,,
El Salvador,0.3,USD,1,0,0,0,,0.3,,
Equatorial Guinea,0.35,XAF,0.00187766,0.03,0,0,,0.35,,
